"family","host_type","longev_max","path_search_results","aquaculture","capture","max_size_mm","inv","habitat","sociality"
"portunidae","Brachyuran crab",3.4,1,0,0,NA,0,2,0
"portunidae","Brachyuran crab",2,1,0,0,77,0,2,0
"penaeidae","Shrimp",1.3,4,0,1,22,0,2,2
"astacidae","Lobster/Crayfish",10,83,1,1,NA,1,0,1
"astacidae","Lobster/Crayfish",17.9,72,0,1,120,0,0,1
"astacidae","Lobster/Crayfish",12,11,0,0,NA,0,0,1
"portunidae","Brachyuran crab",4,1,0,0,NA,0,2,0
"portunidae","Brachyuran crab",4.6,3,0,1,NA,1,1,0
"portunidae","Brachyuran crab",5.8,2,0,0,NA,0,1,0
"portunidae","Brachyuran crab",8,179,1,1,NA,1,1,0
"cancridae","Brachyuran crab",8,14,0,1,NA,1,1,0
"cancridae","Brachyuran crab",15,57,0,1,NA,0,2,1
"cancridae","Brachyuran crab",5,4,0,1,NA,0,2,1
"portunidae","Brachyuran crab",3,38,1,1,NA,0,2,0
"portunidae","Brachyuran crab",6,160,1,1,NA,1,2,0
"galatheidae","Anomuran crab",13,2,0,1,NA,0,2,2
"portunidae","Brachyuran crab",1.58,0.5,0,0,NA,0,2,0
"portunidae","Brachyuran crab",3.5,7,0,0,NA,1,2,0
"portunidae","Brachyuran crab",3,1,0,0,NA,1,2,0
"portunidae","Brachyuran crab",4,13,0,0,NA,1,2,1
"parastacidae","Lobster/Crayfish",3,17,1,0,NA,1,0,1
"parastacidae","Lobster/Crayfish",3.5,93,1,1,NA,0,0,2
"majidae","Brachyuran crab",12,21,0,1,NA,0,2,1
"majidae","Brachyuran crab",7.7,30,0,1,160,1,1,1
"crangonidae","Shrimp",2,21,0,1,NA,1,2,2
"crangonidae","Shrimp",1.5,2,0,0,NA,0,2,2
"grapsidae","Brachyuran crab",5,232,1,1,NA,1,1,0
"calappidae","Brachyuran crab",2.4,0.5,0,0,83,0,2,0
"nephropidae","Lobster/Crayfish",50,215,0,1,NA,1,2,0
"nephropidae","Lobster/Crayfish",72,39,0,1,NA,0,2,0
"oregoniidae","Brachyuran crab",2,1,0,0,NA,0,2,1
"lithodidae","Anomuran crab",14,11,0,1,NA,0,2,1
"palaemonidae","Shrimp",4,13,0,0,NA,0,1,1
"palaemonidae","Shrimp",3.3,49,1,1,80,1,1,2
"xanthidae","Brachyuran crab",8,6,0,1,NA,0,2,0
"cancridae","Brachyuran crab",8,31,0,1,NA,0,2,1
"nephropidae","Lobster/Crayfish",15,1,0,1,NA,0,2,2
"penaeidae","Shrimp",2,0.5,0,0,NA,0,2,1
"penaeidae","Shrimp",1.4,1,0,0,65,1,1,2
"penaeidae","Shrimp",1.8,2,0,0,NA,0,1,1
"penaeidae","Shrimp",2,10,1,0,NA,0,2,2
"penaeidae","Shrimp",3,4,1,1,NA,1,2,2
"galatheidae","Anomuran crab",5,1,0,1,NA,0,2,2
"portunidae","Brachyuran crab",5.6,7,0,1,NA,1,2,0
"callianassidae","Lobster/Crayfish",10,4,0,0,NA,0,2,2
