"host_genus_species","family","host_type","longev_max","age_method","iucn_gen_length","mig","aq_hab","min_temp","iucn","num_results","path_search_results","depth_min","depth_max","extent_IUCN","Aq_prod","Cap_prod","aquaculture","capture","production_type","max_size_mm","measurement","impact","social_score","fam_soc_score","sp_code","Name_en","ref","search_name","num_pathogens","num_viruses","num_isopods","num_rhiz","num_bacteria","num_bacteria_intra","num_microsp","num_direct","num_complex","num_obligate","num_opportunist","num_macro","num_micro","num_api","num_bacteria_extra","num_cestode","num_fungi","num_nematode","num_trematode","prop_direct","prop_obligate","prop_macro"
"Achelous_spinimanus","portunidae","Brachyuran crab",3.4,"growth model",NA,NA,"marine",NA,"not_assessed",22,0,0,159,NA,NA,NA,0,0,"neither",NA,"",NA,"unknown","solitary","RTQ","Blotched swimming crab","278, 637, eol, NA, NA, NA, NA","""Achelous spinimanus"" OR ""Achelous spinimanus smithii"" OR "" Lupa banksii"" OR "" Portunus spinimanus"" OR "" Portunus vossi""       ",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"Arenaeus_cribrarius","portunidae","Brachyuran crab",2,"growth model",NA,NA,"marine",NA,"not_assessed",27,2,NA,NA,NA,NA,NA,0,0,"neither",77,"",NA,"solitary","solitary","RSQ","Speckled swimcrab","30, , NA, 638, NA, 716","""Arenaeus cribrarius"" OR ""Portunus cribrarius"" OR "" Lupa maculata""         ",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"Artemesia_longinaris","penaeidae","Shrimp",1.3,"growth model",NA,NA,"marine",NA,"not_assessed",66,6,2,125,NA,NA,367,0,1,"capture",22,"",NA,"unknown","gregarious","ASH","Argentine stiletto shrimp","380, 641, 642, , NA, NA, NA, NA","""Artemesia longinaris""           ",5,2,0,0,0,0,0,4,2,4,1,2,3,1,0,1,0,1,0,0.666666666666667,0.8,0.4
"Astacopsis_gouldi","parastacidae","Lobster/Crayfish",60,"reviewed data",14,1.65,"fw",5.2,"endangered",11,0,NA,NA,14221,NA,NA,0,0,"neither",800,"",NA,"solitary","solitary","AIG","Giant tasmanian crayfish","280, 296, , NA, NA, NA, NA","""Astacopsis gouldi""           ",1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"Astacus_astacus","astacidae","Lobster/Crayfish",10,"growth model",7.5,NA,"fw",NA,"vulnerable",825,68,NA,NA,NA,1,80,1,1,"both",NA,"","High","ontogenetic_gregarious","ontogenetic_gregarious","AAS","Noble crayfish","310, 311, , NA, NA, 521, , NA","""Astacus astacus"" OR ""Astacus fluviatilis "" OR "" Cancer astacus "" OR "" Potamobius fluviatilis balcanicus""        ",12,3,0,0,0,0,1,10,2,6,6,3,9,0,0,0,2,0,1,0.833333333333333,0.5,0.25
"Austropotamobius_pallipes","astacidae","Lobster/Crayfish",17.9,"growth model",3.5,NA,"fw",NA,"endangered",466,39,NA,NA,NA,NA,2900,0,1,"capture",120,"TL",NA,"ontogenetic_gregarious","ontogenetic_gregarious","AUP","White-clawed crayfish","280, 297, 300, , 731, 731, NA, 732, 733","""Austropotamobius pallipes"" OR ""Astacus fontinalis"" OR "" Astacus pallipes""         ",10,2,0,0,1,0,1,10,0,3,7,2,8,0,1,0,1,0,0,1,0.3,0.2
"Austropotamobius_torrentium","astacidae","Lobster/Crayfish",12,"growth model",NA,NA,"fw",NA,"data_deficient",119,16,0,3,NA,NA,NA,0,0,"neither",NA,"",NA,"ontogenetic_gregarious","ontogenetic_gregarious","UTT","Stone crayfish","346, , NA, NA, NA, 734","""Austropotamobius torrentium"" OR ""Astacus torrentium "" OR "" Austropotamobius torrentium macedonicus "" OR "" Cancer torrentium""        ",3,0,0,0,0,0,0,3,0,0,3,1,2,0,0,0,0,0,0,1,0,0.333333333333333
"Callinectes_arcuatus","portunidae","Brachyuran crab",4,"growth model",NA,NA,"marine",NA,"not_assessed",30,2,NA,NA,NA,NA,NA,0,0,"neither",NA,"",NA,"unknown","solitary","KLU","Cuata swimcrab","321, 322, , NA, NA, NA, NA","""Callinectes arcuatus"" OR ""Callinectes dubia"" OR "" Callinectes nitidus "" OR "" Callinectes pleuriticus""        ",1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"Callinectes_danae","portunidae","Brachyuran crab",4.6,"growth model",NA,NA,"euryhaline",NA,"not_assessed",113,3,NA,NA,NA,NA,2181,0,1,"capture",NA,"","Low/Unk","solitary","solitary","CRZ","Dana swimcrab","163, , NA, NA, 527, 521, , NA","""Callinectes danae"" OR ""Callinectes maracaiboensis""          ",3,1,0,1,0,0,0,3,0,2,1,2,1,0,0,0,0,0,0,1,0.666666666666667,0.666666666666667
"Callinectes_ornatus","portunidae","Brachyuran crab",5.8,"growth model",NA,NA,"euryhaline",NA,"not_assessed",55,3,NA,NA,NA,NA,NA,0,0,"neither",NA,"",NA,"unknown","solitary","KLO","Shelling crab","196, , NA, NA, NA, NA","""Callinectes ornatus"" OR ""Callinectes humphreyi""          ",2,0,0,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,1,0.5,1
