"","node","parent","level","fam_soc_score"
"1","gregarious","Shrimp","root","NA"
"2","gregarious","Shrimp","root","NA"
"3","gregarious","Shrimp","root","NA"
"4","gregarious","Shrimp","root","NA"
"5","gregarious","Shrimp","root","NA"
"6","solitary","Brachyuran crab","root","NA"
"7","solitary","Brachyuran crab","root","NA"
"8","gregarious","Shrimp","root","NA"
"9","repro_aggregate","Shrimp","root","NA"
"10","repro_aggregate","Shrimp","root","NA"
"11","gregarious","Shrimp","root","NA"
"12","solitary","Lobster/Crayfish","root","NA"
"13","ontogenetic_gregarious","Lobster/Crayfish","root","NA"
"14","ontogenetic_gregarious","Lobster/Crayfish","root","NA"
"15","ontogenetic_gregarious","Lobster/Crayfish","root","NA"
"16","repro_aggregate","Anomuran crab","root","NA"
"17","gregarious","Lobster/Crayfish","root","NA"
"18","solitary","Brachyuran crab","root","NA"
"19","solitary","Brachyuran crab","root","NA"
"20","solitary","Brachyuran crab","root","NA"
"21","solitary","Brachyuran crab","root","NA"
"22","solitary","Brachyuran crab","root","NA"
"23","solitary","Brachyuran crab","root","NA"
"24","solitary","Lobster/Crayfish","root","NA"
"25","solitary","Brachyuran crab","root","NA"
"26","repro_aggregate","Brachyuran crab","root","NA"
"27","repro_aggregate","Brachyuran crab","root","NA"
"28","solitary","Brachyuran crab","root","NA"
"29","solitary","Brachyuran crab","root","NA"
"30","gregarious","Anomuran crab","root","NA"
"31","gregarious","Brachyuran crab","root","NA"
"32","solitary","Brachyuran crab","root","NA"
"33","solitary","Brachyuran crab","root","NA"
"34","solitary","Brachyuran crab","root","NA"
"35","repro_aggregate","Brachyuran crab","root","NA"
"36","ontogenetic_gregarious","Lobster/Crayfish","root","NA"
"37","gregarious","Lobster/Crayfish","root","NA"
"38","repro_aggregate","Brachyuran crab","root","NA"
"39","repro_aggregate","Brachyuran crab","root","NA"
"40","gregarious","Shrimp","root","NA"
"41","gregarious","Shrimp","root","NA"
"42","solitary","Brachyuran crab","root","NA"
"43","solitary","Lobster/Crayfish","root","NA"
"44","gregarious","Shrimp","root","NA"
"45","gregarious","Brachyuran crab","root","NA"
"46","gregarious","Shrimp","root","NA"
"47","solitary","Brachyuran crab","root","NA"
"48","gregarious","Shrimp","root","NA"
