"path_abbr","host_genus","host_species","host_genus_species","in_wild","ref"
"car_car","Achelous","spinimanus","Achelous_spinimanus","","13"
"car_car","Arenaeus","cribrarius","Arenaeus_cribrarius","wild","13"
"agg_sp","Artemesia","longinaris","Artemesia_longinaris","wild","11"
"asc_mar","Artemesia","longinaris","Artemesia_longinaris","wild","18"
"ihhn","Artemesia","longinaris","Artemesia_longinaris","wild","175"
"ope_fel","Artemesia","longinaris","Artemesia_longinaris","wild","12"
"wssv","Artemesia","longinaris","Artemesia_longinaris","wild","175"
"aph_ast","Astacopsis","gouldi","Astacopsis_gouldi","lab","256"
"aabv","Astacus","astacus","Astacus_astacus","","76"
"aph_ast","Astacus","astacus","Astacus_astacus","wild","2, 52"
"ast_cir","Astacus","astacus","Astacus_astacus","","442"
"bra_hex","Astacus","astacus","Astacus_astacus","wild","385"
"fil_ana","Astacus","astacus","Astacus_astacus","","442"
"ipnv","Astacus","astacus","Astacus_astacus","lab","86"
"pso_hae","Astacus","astacus","Astacus_astacus","wild","106"
"ram_ast","Astacus","astacus","Astacus_astacus","wild","298"
"sap_par","Astacus","astacus","Astacus_astacus","wild","298"
"the_con","Astacus","astacus","Astacus_astacus","wild","2, 219, 231"
"tri_bei","Astacus","astacus","Astacus_astacus","","227"
"wssv","Astacus","astacus","Astacus_astacus","lab","228"
"apbv","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","442"
"aph_ast","Austropotamobius","pallipes","Austropotamobius_pallipes","lab","256"
"bra_ast","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","335"
"bra_hex","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","430"
"cit_fre","Austropotamobius","pallipes","Austropotamobius_pallipes","","442"
"epi_sp","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","297"
"fus_oxy","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","298"
"pso_hae","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","297"
"the_con","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","231"
"wssv","Austropotamobius","pallipes","Austropotamobius_pallipes","lab","441"
"aph_ast","Austropotamobius","torrentium","Austropotamobius_torrentium","lab","256"
"bra_hex","Austropotamobius","torrentium","Austropotamobius_torrentium","","235"
"pso_hae","Austropotamobius","torrentium","Austropotamobius_torrentium","wild","443"
"wssv","Callinectes","arcuatus","Callinectes_arcuatus","wild","444"
"car_car","Callinectes","danae","Callinectes_danae","","13"
"lox_tex","Callinectes","danae","Callinectes_danae","","11"
"wssv","Callinectes","danae","Callinectes_danae","","15"
"car_car","Callinectes","ornatus","Callinectes_ornatus","wild","445"
"lox_tex","Callinectes","ornatus","Callinectes_ornatus","lab","446"
"ame_mic","Callinectes","sapidus","Callinectes_sapidus","","22"
"bac_a","Callinectes","sapidus","Callinectes_sapidus","","19"
"bac_b","Callinectes","sapidus","Callinectes_sapidus","","16"
"bfv","Callinectes","sapidus","Callinectes_sapidus","","447"
"cal_viv","Callinectes","sapidus","Callinectes_sapidus","","447"
"car_car","Callinectes","sapidus","Callinectes_sapidus","","16"
"cbv","Callinectes","sapidus","Callinectes_sapidus","","447"
"csrv1","Callinectes","sapidus","Callinectes_sapidus","wild",""
"hem_per","Callinectes","sapidus","Callinectes_sapidus","wild","1, 2, 22"
"hys_rel","Callinectes","sapidus","Callinectes_sapidus","","447"
