"host_genus_species","Family_Group","sociality","social_score","fam_soc_score","notes","ref"
"Aristaeomorpha_foliacea","ARISTAEIDAE","aggregates","gregarious","gregarious","""...higher aggregations for recruits than for spawners. Big and rather stable aggregations of both life stages...""","639"
"Aristaeopsis_edwardsiana","ARISTAEIDAE",NA,"repro_aggregate","repro_aggregate","""highly concentrated"" at 700m depth, likely has reproductive aggregates","730"
"Aristeus_antennatus","ARISTAEIDAE","mating_aggregate","repro_aggregate","repro_aggregate","""reproductive aggregations…are well defined""","730"
"Astacus_astacus","ASTACIDAE","juv_agg_adult_solo","ontogenetic_gregarious","ontogenetic_gregarious","juveniles aggregate to receive protection from mother",NA
"Austropotamobius_pallipes","ASTACIDAE","juv_agg_adult_solo","ontogenetic_gregarious","ontogenetic_gregarious","adults are aggressive and solitary, ""hatchlings remain attached to or near their mother for 2-3 weeks""","732, 733"
"Austropotamobius_torrentium","ASTACIDAE","juv_agg_adult_solo","ontogenetic_gregarious","ontogenetic_gregarious","adults aggressively defend shelter","734"
"Pacifastacus_leniusculus","ASTACIDAE","juv_agg_adult_solo","ontogenetic_gregarious","ontogenetic_gregarious","juveniles remain with mother for several weeks, adults have agonistic and aggressive interactions","735, 736"
"Pontastacus_leptodactylus","ASTACIDAE","juv_agg_adult_solo","ontogenetic_gregarious","ontogenetic_gregarious",NA,NA
"Hepatus_pudibundus","CALAPPIDAE",NA,"unknown","solitary","Captured as by-catch ""in great abundance"", but can find very little info on this species",NA
"Callichirus_kraussi","CALLIANASSIDAE","aggregates","gregarious","gregarious","""occurs in dense aggregates (up to 200 ind./m2) spanning several kilometers""","648"
"Neotrypaea_californiensis","CALLIANASSIDAE","aggregates","gregarious","gregarious","From 230-450 shrimp/m2","649"
"Cambarus_bartonii","CAMBARIDAE",NA,"solitary","solitary","adults are aggressive",NA
"Orconectes_immunis","CAMBARIDAE",NA,"solitary","solitary","agonistic",NA
"Orconectes_limosus","CAMBARIDAE",NA,"solitary","solitary","agonistic",NA
"Orconectes_nais","CAMBARIDAE",NA,"solitary","solitary","agonistic",NA
"Orconectes_propinquus","CAMBARIDAE",NA,"solitary","solitary","agonistic",NA
"Orconectes_rusticus","CAMBARIDAE",NA,"solitary","solitary","agonistic",NA
"Orconectes_virilis","CAMBARIDAE",NA,"unknown","ontogenetic_gregarious","""gregarious use of burrows was observed"", sounds like mating pairs though","737"
"Procambarus_alleni","CAMBARIDAE",NA,"solitary","solitary","agonistic",NA
"Procambarus_clarkii","CAMBARIDAE","juv_agg_adult_solo","ontogenetic_gregarious","ontogenetic_gregarious","juveniles aggregate to receive protection from mother","643"
"Procambarus_fallax","CAMBARIDAE",NA,"solitary","solitary","agonistic",NA
"Cancer_irroratus","CANCRIDAE","solitary","solitary","solitary","aggressive displays and formation of dominance hierarchies","661"
"Cancer_pagurus","CANCRIDAE","ovig_aggregates","repro_aggregate","repro_aggregate","ovigerous crabs aggregate but do not enter traps","654"
"Cancer_productus","CANCRIDAE",NA,"unknown","repro_aggregate","not finding info on this spp.",NA
"Metacarcinus_magister","CANCRIDAE","ovig_aggregates","repro_aggregate","repro_aggregate","dispersion non-random, only ovigerous crabs were found in aggregations","653"
"Romaleon_antennarium","CANCRIDAE",NA,"unknown","repro_aggregate","not finding info on this spp.",NA
"Birgus_latro","COENOBITIDAE","ovig_aggregates","repro_aggregate","repro_aggregate","solitary except ovigerous females, which use similar habitat and occur in densities ""often so great that crabs were observed climbing over each other or that crevices and holes were occurpied by more than one crab""","663"
"Crangon_crangon","CRANGONIDAE","aggregates","gregarious","gregarious","""high densities"", ""huge numbers""","665"
"Crangon_franciscorum","CRANGONIDAE",NA,"unknown","gregarious","not finding info on this spp.",NA
"Notocrangon_antarcticus","CRANGONIDAE","aggregates","gregarious","gregarious","patchy distribution, ""indicates that the two species aggregate in patches…""","666"
"Cervimunida_johni","GALATHEIDAE",NA,"unknown","gregarious","no info on this",NA
"Munida_gregaria","GALATHEIDAE","juv_aggregates","gregarious","gregarious","""massive shoals of the post-metamorphic phase (juveniles)...are present in continental shelf surface waters of southeastern New Zealand""","668"
"Pleuroncodes_monodon","GALATHEIDAE","aggregates","gregarious","gregarious","""two persistent adult aggregations""","669"
"Chaceon_maritae","GERYONIDAE","aggregates","gregarious","gregarious","""these species have a contagious behaviour and tend to aggregate in areas close to canyons and other bottom features"" especially mature females","670"
"Eriocheir_sinensis","GRAPSIDAE","solitary","solitary","solitary","""aggressive instinct...results in a frequent autotomy among juvenile crabs""","671"
"Grapsus_adscensionis","GRAPSIDAE","aggregates","gregarious","gregarious","""many were...often tightly packed, touching, but with no aggression....They were spaced apart...but with little interaction. When a large crab walked through the group, all the smaller ones moved slowly out of its way; the large crabs were never overtly aggressive. If a crab hahepend to touch a similar sized one there was sometimes a brief confrontation, but they then separated""","334"
"Pachygrapsus_marmoratus","GRAPSIDAE","aggregates","gregarious","gregarious","""...the marked crabs were packed together where the refuge density was higher...the territories of larger males never overlapped, but were divided into many small areas also occupied by smaller males and females""","673"
"Lithodes_santolla","LITHODIDAE","juv_aggregates","ontogenetic_gregarious","ontogenetic_gregarious","early benthic phase is solitary for 2 years, then ""social-aggregative behavior, termed 'podding' displayed by older juveniles""","674"
"Paralithodes_camtschaticus","LITHODIDAE","aggregates","gregarious","gregarious","ovigerous females aggregates, juveniles aggregate","675"
"Paralithodes_platypus","LITHODIDAE","aggregates","gregarious","gregarious","many references to crab aggregations","676"
"Chionoecetes_bairdi","MAJIDAE","mating_aggregate","repro_aggregate","repro_aggregate","""the aggregation consisted primarily of oldshell, multiparous female crabs...contained hundreds of crabs each at densities >100/m2. Male crabs were found mating with females at the periphery of the aggregation""","677"
"Chionoecetes_opilio","MAJIDAE","female_aggregates","repro_aggregate","repro_aggregate","females aggregate in groups based on life history stage, e.g. juvi together, mature females together","678"
"Maja_squinado","MAJIDAE","aggregates","gregarious","gregarious","pod forming, ""these pods were made up mainly of juveniles, except for the aggregation...where 72% ...were adults. Predominance of females...large number of premoult or postmoult stage would suggest that these pods serve as a form of protection""","679"
"Homarus_americanus","NEPHROPIDAE","solitary","solitary","solitary","""cohabitation in the same shelter occurred only during periods of pair formation""","655"
"Homarus_gammarus","NEPHROPIDAE","solitary","solitary","solitary","many agonistic encounters",NA
"Metanephrops_australiensis","NEPHROPIDAE","aggregates","gregarious","gregarious","""high aggregations""","680"
"Metanephrops_boschmai","NEPHROPIDAE","aggregates","gregarious","gregarious","""high aggregations""","680"
"Metanephrops_challengeri","NEPHROPIDAE","aggregates","gregarious","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""","497"
"Metanephrops_velutinus","NEPHROPIDAE","aggregates","unknown","solitary","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""","497"
"Nephrops_norvegicus","NEPHROPIDAE","solitary","solitary","solitary","burrows are aggregated, juveniles tend to use adult burrows, but create a separate part of the burrow to inhabit, seems like something between solitary and aggregate…","682"
