sp_quote,sp_code,extent_IUCN,extent_notes,ref
Acetes americanus,EKC,NA,,
Acetes chinensis,ESH,NA,,
Acetes indicus,EKN,NA,,
Acetes intermedius,EKI,NA,,
Acetes japonicus,AKS,NA,,
Achelous spinimanus,RTQ,NA,,
Arenaeus cribrarius,RSQ,NA,,
Aristaeomorpha foliacea,ARS,NA,,
Aristaeopsis edwardsiana,SSH,NA,a broad geographic distribution including Western Atlantic (from Newfoundland - Canada to Uruguay) Eastern Atlantic (from southern Portugal to South Africa)  Indian and Indo-Pacific Oceans  (Mozambique  Madagascar Tanzania  Somalia Indonesia  Japan and Australia),730
Artemesia longinaris,ASH,NA,,
Astacopsis gouldi,AIG,14221,,
Astacus astacus,AAS,NA,,
Austropotamobius pallipes,AUP,NA,occur in streams and lakes across western Europe from Ireland and Britain to Spain Italy and Croatia,731
Austropotamobius torrentium,UTT,NA,,
Birgus latro,BQL,NA,,
Callichirus kraussi,ISK,NA,,
Callinectes arcuatus,KLU,NA,,
Callinectes bellicosus,KLI,NA,,
Callinectes danae,CRZ,NA,,
Callinectes ornatus,KLO,NA,,
Callinectes sapidus,CRB,NA,,
Callinectes toxotes,CRC,NA,,
Cambarus bartonii,MBO,1000000,,
Cancer irroratus,CRK,NA,,
Cancer pagurus,CRE,NA,,
Cancer productus,ROC,NA,,
Carcinus aestuarii,CMR,NA,,
Carcinus maenas,CRG,NA,,
Cervimunida johni,CZJ,NA,,
Chaceon maritae,CGE,NA,,
Charybdis bimaculata,YFB,NA,,
Charybdis feriata,KHF,NA,,
Charybdis hellerii,YVB,NA,,
Charybdis japonica,YBJ,NA,,
Cherax destructor,CDT,NA,,
Cherax quadricarinatus,CRP,3500000,,
Chionoecetes bairdi,CVB,NA,,
Chionoecetes opilio,CRQ,NA,,
Crangon crangon,CSH,NA,,
Crangon franciscorum,GQF,NA,,
Eriocheir sinensis,ERS,NA,,
Euastacus armatus,AYA,150000,,
Exopalaemon modestus,EXO,NA,,
Grapsus adscensionis,IFJ,NA,,
Haliporoides sibogae,JAQ,NA,,
Hepatus pudibundus,HUY,NA,,
Heterocarpus reedi,CHS,NA,,
Homarus americanus,LBA,NA,,
Homarus gammarus,LBE,NA,,
Hyas coarctatus,MVH,NA,,
Ibacus peronii,IBE,NA,,
Jasus lalandii,LBC,NA,,
