sp_quote,sp_code,aquacult,comm_fish
"""Acetes americanus""",EKC,NA,NA
"""Acetes chinensis""",ESH,NA,NA
"""Acetes indicus""",EKN,NA,NA
"""Acetes intermedius""",EKI,NA,NA
"""Acetes japonicus""",AKS,NA,NA
"""Achelous spinimanus""",RTQ,NA,NA
"""Arenaeus cribrarius""",RSQ,NA,NA
"""Aristaeomorpha foliacea""",ARS,NA,NA
"""Aristaeopsis edwardsiana""",SSH,NA,NA
"""Aristeus antennatus""",ARA,NA,NA
"""Artemesia longinaris""",ASH,NA,NA
"""Astacopsis gouldi""",AIG,NA,NA
"""Astacus astacus""",AAS,NA,NA
"""Austropotamobius pallipes""",AUP,NA,NA
"""Austropotamobius torrentium""",UTT,NA,NA
"""Birgus latro""",BQL,NA,NA
"""Callichirus kraussi""",ISK,NA,NA
"""Callinectes arcuatus""",KLU,NA,NA
"""Callinectes bellicosus""",KLI,NA,NA
"""Callinectes danae""",CRZ,NA,NA
"""Callinectes ornatus""",KLO,,NA
"""Callinectes sapidus""",CRB,NA,NA
"""Callinectes toxotes""",CRC,,NA
"""Cambarus bartonii""",MBO,NA,NA
"""Cancer irroratus""",CRK,NA,NA
"""Cancer pagurus""",CRE,NA,NA
"""Cancer productus""",ROC,,NA
"""Carcinus aestuarii""",CMR,NA,NA
"""Carcinus maenas""",CRG,NA,NA
"""Cervimunida johni""",CZJ,NA,NA
"""Chaceon maritae""",CGE,NA,NA
"""Charybdis bimaculata""",YFB,NA,NA
"""Charybdis feriata""",KHF,NA,NA
"""Charybdis hellerii""",YVB,NA,NA
"""Charybdis japonica""",YBJ,NA,NA
"""Cherax destructor""",CDT,NA,NA
"""Cherax quadricarinatus""",CRP,yes,NA
"""Chionoecetes bairdi""",CVB,NA,NA
"""Chionoecetes opilio""",CRQ,NA,NA
"""Crangon crangon""",CSH,NA,NA
"""Crangon franciscorum""",GQF,NA,NA
"""Eriocheir sinensis""",ERS,y,NA
"""Euastacus armatus""",AYA,NA,NA
"""Exopalaemon modestus""",EXO,NA,NA
"""Grapsus adscensionis""",IFJ,NA,NA
"""Haliporoides sibogae""",JAQ,NA,NA
"""Hepatus pudibundus""",HUY,NA,NA
"""Heterocarpus reedi""",CHS,NA,NA
"""Homarus americanus""",LBA,NA,NA
"""Homarus gammarus""",LBE,NA,NA
"""Hyas coarctatus""",MVH,NA,NA
"""Ibacus peronii""",IBE,NA,NA
"""Jasus lalandii""",LBC,NA,NA
"""Leptochela gracilis""",LKG,NA,NA
"""Lithodes santolla""",KCR,NA,NA
"""Macrobrachium amazonicum""",MBA,NA,NA
"""Macrobrachium intermedium""",BKI,NA,NA
"""Macrobrachium macrobrachion""",BKB,NA,NA
"""Macrobrachium nipponense""",MNX,NA,NA
"""Macrobrachium raridens""",BJD,NA,NA
"""Macrobrachium vollenhovenii""",BJH,NA,NA
"""Maja squinado""",SCR,NA,NA
"""Menippe mercenaria""",STC,NA,NA
"""Metacarcinus magister""",DUN,,NA
"""Metanephrops australiensis""",MFL,NA,NA
"""Metanephrops boschmai""",MFO,NA,NA
"""Metanephrops challengeri""",MEC,NA,NA
"""Metanephrops velutinus""",MFV,NA,NA
"""Metapenaeopsis barbata""",MJB,NA,NA
"""Metapenaeus affinis""",MTJ,NA,NA
"""Metapenaeus dobsoni""",MPD,NA,NA
"""Metapenaeus ensis""",MPE,NA,NA
"""Metapenaeus joyneri""",SHI,NA,NA
"""Metapenaeus monoceros""",MPN,NA,NA
"""Metapenaeus stebbingi""",MNG,NA,NA
"""Munida gregaria""",UDQ,NA,NA
"""Necora puber""",LIO,NA,NA
