host_genus_species,sp.code,max_size_mm,measurement,ref
Achelous_spinimanus,RTQ,,,
Arenaeus_cribrarius,RSQ,77,,638
Artemesia_longinaris,ASH,,,
Astacus_astacus,AAS,,,
Austropotamobius_pallipes,AUP,120,TL,731
Austropotamobius_torrentium,UTT,,,
Callinectes_arcuatus,KLU,,,
Callinectes_danae,CRZ,,,
Callinectes_ornatus,KLO,,,
Callinectes_sapidus,CRB,227,CW,764
Cancer_irroratus,CRK,,,
Cancer_pagurus,CRE,,,
Cancer_productus,ROC,,,
Carcinus_aestuarii,CMR,,,
Carcinus_maenas,CRG,,,
Cervimunida_johni,CZJ,,,
Charybdis_bimaculata,YFB,,,
Charybdis_feriata,KHF,,,
Charybdis_hellerii,YVB,78,CW,764
Charybdis_japonica,YBJ,,,
Cherax_destructor,CDT,,,
Cherax_quadricarinatus,CRP,,,
Chionoecetes_bairdi,CVB,160,,
Chionoecetes_opilio,CRQ,,,
Crangon_crangon,CSH,,,
Crangon_franciscorum,GQF,,,
Eriocheir_sinensis,ERS,,,
Hepatus_pudibundus,HUY,83,,316
Homarus_americanus,LBA,,,
Homarus_gammarus,LBE,,,
Hyas_coarctatus,MVH,,,
Lithodes_santolla,KCR,,,
Macrobrachium_amazonicum,MBA,,,
Macrobrachium_nipponense,MNX,80,,689
Maja_squinado,SCR,,,
Menippe_mercenaria,STC,,,
Metacarcinus_magister,DUN,177,CW,764
Metanephrops_challengeri,MEC,,,
Metapenaeopsis_barbata,MJB,,,
Metapenaeus_affinis,MTJ,65,TL,707
Metapenaeus_dobsoni,MPD,,,
Metapenaeus_ensis,MPE,,,
Metapenaeus_monoceros,MPN,,,
Munida_gregaria,UDQ,,,
Necora_puber,LIO,,,
Neotrypaea_californiensis,ISF,,,
Nephrops_norvegicus,NEP,,,
Orconectes_immunis,OKI,,,
Orconectes_limosus,ORL,,,
Orconectes_propinquus,OKO,,,
Orconectes_rusticus,OKR,,,
Orconectes_virilis,OKV,,,
Pachygrapsus_marmoratus,YGM,,,
Pacifastacus_leniusculus,PCL,,,
Palaemon_adspersus,PAA,,,
Palaemon_macrodactylus,PMZ,,,
Palaemon_paucidens,PMW,,,
Palaemonetes_paludosus,MPQ,,,
Pandalus_borealis,PRA,,,
Pandalus_hypsinotus,PYX,216,TL,693
Pandalus_montagui,AES,,,
Panulirus_argus,SLC,,,
Paralithodes_camtschaticus,KCD,,,
Paralithodes_platypus,KCI,230,,
Paranephrops_planifrons,NFF,,,
Parapenaeopsis_stylifera,NAY,,,
Parapenaeus_longirostris,DPS,,,
Penaeus_aztecus,ABS,,,
Penaeus_brasiliensis,PNB,,,
Penaeus_duorarum,APS,,,
Penaeus_indicus,PNI,,,
Penaeus_japonicus,KUP,,,
Penaeus_kerathurus,TGS,,,
Penaeus_latisulcatus,WKP,,,
Penaeus_longistylus,ELY,,,
Penaeus_merguiensis,PBA,,,
Penaeus_monodon,GIT,,,
Penaeus_notialis,SOP,,,
Penaeus_semisulcatus,TIP,,,
Penaeus_setiferus,PST,,,
Penaeus_stylirostris,PNS,,,
Penaeus_subtilis,PNU,,,
Penaeus_vannamei,PNV,,,
Pleoticus_muelleri,LAA,,,
Pleuroncodes_monodon,PQG,,,
Pontastacus_leptodactylus,CRD,,,
Portunus_pelagicus,SCD,,,
Portunus_trituberculatus,GAZ,,,
Procambarus_alleni,RQA,,,
Procambarus_clarkii,RCW,,,
Procambarus_fallax,RKX,,,
Scylla_olivacea,YLW,,,
Scylla_serrata,MUD,216,CW,764
Solenocera_choprai,SKK,114,TL,726
Ucides_cordatus,UCC,,,
Upogebia_pusilla,UPJ,,,
Xiphopenaeus_kroyeri,BOB,,,
