path_genus,path_species,path_com_name,path_abbr,pathogen_type,virus_type,organ_aff,primary_effect,method_of_det,ref,notes,key references to look into
,,Astacus astacus Bacilliform virus,aabv,virus,bacilliform,hepatopancreas,,,76,,
Abelspora,portucalensis,,abe_por,microsporidian,,hepatopancreas,,"histology, electron microscopy",41,,
Achelion,occidentalis,,ach_occ,isopod,,gill,,,125,,
Acremonium,sp.,,acr_sp,fungi,,exoskeleton,respiratory functioning,,238,,
Aeromonas,hydrophila,,aer_hyd,bacteria_extra,,hemolymph,mortality,PCR,"99, 234, 261, 274",,
Aeromonas,schubertii,,aer_sch,bacteria_extra,,hemolymph,,,591,,
Aeromonas,sobria,,aer_sob,bacteria_extra,,hemolymph,,,273,,
Aerococcus,viridans,gaffkemia,aer_vir,bacteria_extra,,hepatopancreas,mortality,,"2, 116",may not be pathogenic (Johnson et al 1981),
Agmasoma,penaei,,agm_pen,microsporidian,,"gonad, hepatopancreas",,,534,,
Agmasoma,sp.,,agm_sp,microsporidian,,"gonad, hepatopancreas",,,555,,
Aggregata,eberthi,,agg_ebe,apicomplexan,,gut,,,53,,
Aggregata,octopiana,,agg_oct,apicomplexan,,gut,,"histology, ELISA",173,,
Aggregata,sp,,agg_sp,apicomplexan,,gut,,,"11, 218",,
Alaxinus,oclairi,,ala_ocl,nemertean,,egg mass,egg mortality,,524,,
Allocorrigia,filiformis,,all_fil,trematode,,antennal gland,,,442,,
Alloglossoides,caridicola,,all_car,trematode,,antennal gland,,,266,,
Alloglossidium,dolandi,,all_dol,trematode,,antennal gland,,,267,,
Allokepon,hendersoni,,all_hen,isopod,,gill,,,150,,
Allokepon,longicauda,,all_lon,isopod,,gill,,,150,,
Allokepon,monodi,,all_mon,isopod,,gill,,,150,,
Allokepon,sinensis,,all_sin,isopod,,gill,,,150,,
Ameson,atlanticum,,ame_atl,microsporidian,,muscle,,,435,,
Ameson,metacarcini,,ame_met,microsporidian,,muscle,,"histology, PCR, TEM",493,,
Ameson,michaelis,,ame_mic,microsporidian,,muscle,muscle lysis,,22,,
Ameson,portunus,,ame_por,microsporidian,,muscle,,,609,,
Ameson,pulvis,,ame_pul,microsporidian,,muscle,,,42,alt. genus Nosema,
Ameson,sp.,,ame_sp,microsporidian,,muscle,,histology,"1, 214",,
Anathelges,hyptius,,ana_hyp,isopod,,gill,,,125,,
Anophryoides,haemophila,Bumper car disease,ano_hae,ciliate,,hemolymph,mortality,smear,"2, 111",,
Anophrys,maggii,,ano_mag,ciliate,,hemolymph,mortality,,50,,
,,Austropotamobius pallipes bacilliform virus,apbv,virus,bacilliform,hepatopancreas,,histology,442,,
Aphanomyces,astaci,Crayfish plague,aph_ast,oomycete,,"cuticle, carapace, gill",mortality,qPCR,"2, 52, 98, 230, 248, 250, 256, 262, 268, 275",,
Apocepon,digitatum,,apo_dig,isopod,,gill,,,150,,
Apocepon,leucosiae,,apo_leu,isopod,,gill,,,150,,
Apocepon,pulcher,,apo_pul,isopod,,gill,,,150,,
Areospora,rohanae,,are_roh,microsporidian,,"hepatopancreas, gill, connective tissue",,,,,
Argeia,pauperata,,arg_pau,isopod,,gill,,,471,,
Ascarophis,morrhuae,,asc_mor,nematode,,gill,,,"67, 74, 118, 275",,
Ascarophis,marina,,asc_mar,nematode,,systemic,,light microscopy,18,,
Ascarophis,sp.,,asc_sp,nematode,,systemic,,,,,
Aspergillus,awamori,Black gill,asp_awa,fungi,,gill,mortality,histology,126,,
Aspergillus,flavus,,asp_fla,fungi,,,,,598,,
Aspergillus,parasiticus,,asp_par,fungi,,,,,598,,
Astacotrema,cirrigerum,,ast_cir,trematode,,gill,,,442,,
Asymmetrione,desultor,,asy_des,isopod,,gill,,,125,,
Athelges,bilobus,,ath_bil,isopod,,gill,,,125,,
Athelges,cladophorus,,ath_cla,isopod,,gill,,,125,,
Athelges,intermedia,,ath_int,isopod,,gill,,,125,,
Athelges,paguri,,ath_pag,isopod,,gill,,,125,,
Athelges,tenuicaudis,,ath_ten,isopod,,gill,,,125,,
Austramphilina,elongata,,aus_elo,helminth,,,,electron microscopy,247,,
,,Baculo-A virus,bac_a,virus,nudivirus,hepatopancreas,,,19,,
,,Baculo-B virus,bac_b,virus,nimaviridae,hemolymph,,,16,,
Batrachochytrium,dendrobatidis,Chytrid fungus,bat_den,fungi,,gut,mortality,,257,,
,,Betanodavirus,bet_vir,virus,nodavirus,,,PCR,458,apparently healthy,
,,Bi-facies virus,bfv,virus,ncldv,,mortality,,447,"formely hlv, herpes-like virus",
Bopyrissa,diogeni,,bop_dio,isopod,,gill,,,125,,
Bopyrella,saronae,,bop_sar,isopod,,gill,,,224,,
Bopyroides,hippolytes,,bop_hip,isopod,,gill,,,125,,
Bopyrus,squillarum,,bop_squ,isopod,,gill,,,125,,
Branchiobdella,astaci,,bra_ast,branchiobdellid,,gill,feed on gills,visual,235,,
Branchiobdella,balcanica,,bra_bal,branchiobdellid,,abdomen,,visual,253,delete,
Branchiobdella,hexodonta,,bra_hex,branchiobdellid,,gill,feed on gills,visual,"235, 253",,
Branchiobdella,parasita,,bra_par,branchiobdellid,,abdomen,,visual,253,delete,
Branchiobdella,pentodonta,,bra_pen,branchiobdellid,,abdomen,,visual,253,delete,
Branchiobdella,sp,,bra_sp,branchiobdellid,,gill,,light microscopy,297,delete,
Briarosaccus,callosus,,bri_cal,rhizocephalan barnacle,,abdomen,"sterilization, stunting",,"1, 2",,
Briarosaccus,regalis,,bri_reg,rhizocephalan barnacle,,abdomen,,PCR,523,,
Calliobdella,vivida,,cal_viv,leech,,external,,,447,,
Calliobothrium,ventricillatum,,cal_ven,cestode,,systemic,,,65,,
Cancricepon,choprae,,can_cho,isopod,,gill,,,"12, 90, 220",,
Carcinonemertes,carcinophila imminuta,,car_car,nemertean,,"gill, egg mass",,,"13, 66",,
Carcinonemertes,epialti,,car_epi,nemertean,,egg mass,egg mortality,,15,,
Carcinonemertes,errans,,car_err,nemertean,,egg mass,egg mortality,,15,,
Carcinonemertes,mitsukurii,,car_mit,nemertean,,egg mass,egg mortality,,15,,
Carcinonemertes,regicides,,car_reg,nemertean,,egg mass,egg mortality,,"2, 9",,
Carcinocaris,serrichelata,,car_ser,isopod,,,,,40,,
,,Chesapeake Bay virus,cbv,virus,picorna-like,,,,447,,
,,Crangon crangon bacilliform virus,ccbv,virus,bacilliform,hepatopancreas,mortality,"histology, TEM",33,,
,,Cherax destructor bacilliform virus,cdbv,virus,bacilliform,hepatopancreas,,"histology, electron microscopy",76,,
,,Cherax destructor systemic parvo-like virus,cdspv,virus,parvovirus,gill,,"histology, electron microscopy",241,,
Cephalolobus,indicus,,cep_ind,apicomplexan,,gut,,,500,,
Cephalolobus,sp.,,cep_sp,apicomplexan,,gut,,,533,,
Cephaloidophora,conformis,,cep_con,apicomplexan,,gut,,,514,,
Cephalosporium,leptodactyli,,cep_lep,fungi,,exoskeleton,,visual,298,,
Cephalolobus,penaeus,,cep_pen,apicomplexan,,gut,,,544,,
Cercaria,emasculans,,cer_ema,trematode,,systemic,,,56,,
,,Cherax giardia-like virus,cgv,virus,totivirus,,,,,,
,,Chequa iflavirus,che_ifl,virus,picornavirus,,mortality,"histology, PCR, TEM",461,,
Chlamydiales,sp,,chl_sp,bacteria_intra,,systemic,,,23,,
Choniosphaera,cancrorum,,cho_can,copepod,,egg mass,egg mortality,,23,,
Choniosphaera,indica,,cho_ind,copepod,,egg mass,egg mortality,,15,,
Choniostoma,rotundatum,,cho_rot,copepod,,egg mass,,,160,,
Chondroccocus,sp.,,cho_sp,bacteria_extra,,,,,156,,
Citrobacter,freundii,,cit_fre,bacteria_extra,,hepatopancreas,,,"101, 273",,
Clistosaccus,paguri,,cli_pag,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
,,Carcinas maenas bacilliform virus,cmbv,virus,nudivirus,hepatopancreas,,,"31, 32",,
,,covert mortality nodavirus,cmnv,virus,nodavirus,hepatopancreas,HP atrophy and necrosis,,549,,
,,Chionoecetes opilio Heamocytic Bacilliform virus,cobv,virus,nimaviridae,hemolymph,,,85,,
Contracaecum,habena,,con_hab,nematode,,,,,544,,
Copidognathus,stevcici,,cop_ste,halacarid,,egg mass,egg mortality,,492,,
Cothurnia,curva,,cot_cur,ciliate,,,,,252,,
Cothurnia,sieboldii,,cot_sie,ciliate,,gill,mortality,visual,236,,
Cothurnia,variabilis,,cot_var,ciliate,,,,,252,,
Coxiella,cheraxi,,cox_che,bacteria_intra,,gill,mortality,molecular,,,
,,Cancer pagurus bacilliform virus,cpbv,virus,nudivirus,hepatopancreas,,,"1, 4",,
,,Cancer pagurus systemic bunya-like virus,cpsbv,virus,bunya-like,"gill, connective tissue",,,23,,
,,Cherax quadricarinaatus bacilliform virus,cqbv,virus,nudivirus,hepatopancreas,,"histology, electron microscopy",76,,
,,Cherax quadricarinaatus iridovirus,cqiv,virus,iridovirus,"gill, hemolymph",mortality,,460,,
,,Cherax quadricarinatus parvovirus,cqpv,virus,parvovirus,hemolymph,,,442,,
,,Cherax quadricarinatus athtab virus (bunyavirus),cqav,virus,bunyavirus,"gill, hemolymph",,,740,,
,,Cherax quadricarinatus reolike virus,cqrv,virus,reovirus,hepatopancreas,,,,,
Crepidostomum,cornutum,,cre_cor,trematode,,gonads,,,255,,
,,Callinectes sapidus reovirus,csrv1,virus,reovirus,"gill, connective tissue",,,,,
