ref.no,citation,Review?,Jamie's thesis?,Not found,abbr_ref
1,"Behringer, D. C. (2012). Diseases of wild and cultured juvenile crustaceans: Insights from below the minimum landing size. Journal of Invertebrate Pathology, 110(2), 225_235. https://doi.org/10.1016/j.jip.2012.03.003",Y,,,Behringer 2012
2,"Shields, J. D. (2012). The impact of pathogens on exploited populations of decapod crustaceans. Journal of Invertebrate Pathology, 110(2), 211_224. https://doi.org/10.1016/j.jip.2012.03.011",Y,,,Shields 2012
3,"Anderson, I. G., & Prior, H. C. (1992). Baculovirus infections in the mud crab, Scylla serrata, and a freshwater crayfish, Cherax quadricarinatus, from Australia. Journal of Invertebrate Pathology, 60(3), 265_273. https://doi.org/10.1016/0022-2011(92)90008-R",,,,Anderson and Prior 1992
4,"Bateman, K. S., Hicks, R. J., & Stentiford, G. D. (2011). Disease profiles differ between non-fished and fished populations of edible crab (Cancer pagurus) from a major commercial fishery. ICES Journal of Marine Science, 68(10), 2044_2052. https://doi.org/10.1093/icesjms/fsr148",,,,Bateman et al 2011
5,"Klaoudatos, D. S., Conides, A. J., Anastasopoulou, A., & Dul_i_, J. (2013). Age, growth, mortality and sex ratio of the inshore population of the edible crab, Cancer pagurus (Linnaeus 1758) in South Wales (UK). Journal of Applied Ichthyology, 29(3), 579_586. https://doi.org/10.1111/jai.12122",,,,Klaoudatos et al 2013
6,"Cuculescu, M., Hyde, D., & Bowler, K. (1998). Thermal tolerance of two species of marine crab, Cancer pagurus and Carcinus maenas. Journal of Thermal Biology, 23(2), 107_110. https://doi.org/10.1016/S0306-4565(98)00008-4",,,,Cuculescu et al 1998
7,"Sheehy, M. R. J., & Prior, A. E. (2005). Analysis of stock age structure and population parameters in edible crab, Cancer pagurus, using lipofuscin age-pigment: data for resource management, 15(May).",,,,Sheehy et al 2005
8,"Sheehy, M. R. J., Bannister, R. C. A., Wickins, J. F., & Shelton, P. M. J. (1999). New perspectives on the growth and longevity of the European lobster (Homarus gammarus). Canadian Journal of Fisheries and Aquatic Sciences, 56(10), 1904_1915. https://doi.org/10.1139/cjfas-56-10-1904",,,,Sheehy et al 1999
9,"Kuris, A.M., Blau, S.F., Paul, A.J., Shields, J.D., Wickham, D.E., 1991. Infestation by brood symbionts and their impact on egg mortality in the red king crab, Paralithodes camtschatica, in Alaska, Geographic and temporal variation. Can. J. Fish. Aquat. Sci. 48, 559_568.",,,,Kuris et al 1991
10,"Chan, K. K. B. (2004). First record of the parasitic barnacle Sacculina scabra Boschma, 1931 (crustacea: Cirripedia: Rhizocephala) infecting the shallow water swimming crab Charybdis truncate. TR Bullitain Zoology. 52, 449-453.",,Y,,Chan 2004
11,"Sardella, N. H., & Martorelli, S. R. (1997). Occurrence of Merogony ofAggregataFrenzel 1885 (Apicomplexa) inPleoticus muelleriandArtemesia longinaris (Crustacea: Natantia) from Patagonian Waters (Argentina). Journal of invertebrate pathology, 70(3), 198-202.",,,,
12,"Martorelli, S. R. (1992). Parasites of commercial shrimps and fishes in Argentine sea: on the adult and metacercaria of Opecoeloides feliciae n. sp.(Digenea: Opecoelidae). Memórias do Instituto Oswaldo Cruz, 87(1), 43-48.",,,,
13,"Mantelatto, F. L., O'Brien, J. J., Biagi, R. (2003). Parasites and symbionts of crabs from Ubatuba bay, Sao Paulo State, Brazil. Comparative Parasitology. 70(2), 211-214.",,Y,,Mantelatto et al 2003
14,"Zara, F. J., Diogo-Reigada, A. L., Domingues Passero, L. F., et al. (2009). Myzobdella platensis (Hirundinida: Piscicolidae) is true parasite of blue crabs (Crustacea: Portunidae). Journal of Parasitology. 95(1), 124-128.",,Y,,Zara et al 2009
15,"Shields, J. D., & Wood, F. E. I. (1993). Impact of parasites on the reproduction and fecundity of the blue sand crab Portunus pelagicus from Moreton Bay, Australia. Marine Ecology Progress Series, 92(1_2), 159_170. https://doi.org/10.3354/meps092159",,,,Shields and Wood 1993
16,"Morado, J. F. (2011). Protistan diseases of commercially important crabs: a review. Journal of Invertebrate Pathology. 106(1), 27-53.",,Y,,Morado 2011
17,"Corbel, V., Zuprizal, Z., Shi, C., et al. (2001). Experimental infection of European crustaceans with white spot syndrome virus (WSSV). Journal of Fish Diseases. 24(7), 377-382.",,Y,,Corbel et al. 2001
18,"Martorelli, S. R., Navone, G. T., & Ivanov, V. (2000). Proposed life cycle of Ascarophis marina (Nematoda: Cystidicolidae) in Argentine waters. Journal of Parasitology, 86(5), 1047-1050.",,,,
19,"Bonami, J. R., Zhang, S. (2011). Viral diseases in commercially exploited crabs: a review. Journal of Invertebrate Pathology. 106(1), 6-17.",,Y,,Bonami and Zhang 2011
20,,,Y,,Noga et al. 2000
21,,,Y,,Ma et al. 2009
22,"Rogers, H. A., Taylor, S. S., Hawke, J. P., et al. (2015). Disease, parasite, and commensal prevalences for blue crab Callinectes sapidus at shedding facilities in Louisiana, USA. Diseases of Aquatic Organisms. 112(3), 207-217.",,Y,,Rogers et al 2015
23,"Stentiford, G. D. (2008). Diseases of the European edible crab (Cancer pagurus): a review. ICES Journal of Marine Science: Journal du Conseil. 65(9), 1578-1592",,Y,,Stentiford 2008
24,,,Y,,"Hoppes, 2011"
25,"Cornick, J. W., Stewart, J. E. (1968a). Interaction of the pathogen Gaffkya homari with natural defense mechanisms of Homarus americanus. Journal of the Fisheries Board of Canada. 25(4), 695-709.",,Y,,Cornich and Stewart 1968
26,"Vaullegeard, A. (1896). Bulleitnof the Society Linneus. Normandie, 4 ser., 10: 50_53.",,Y,X,Vaullegeard 1896
