host_genus_species,Family_Group,sociality,social_score,notes,ref,
Aristaeomorpha_foliacea,ARISTAEIDAE,aggregates,4,"""...higher aggregations for recruits than for spawners. Big and rather stable aggregations of both life stages...""",639,
Aristaeopsis_edwardsiana,ARISTAEIDAE,NA,2,"""highly concentrated"" at 700m depth, likely has reproductive aggregates",730,
Aristeus_antennatus,ARISTAEIDAE,mating_aggregate,2,"""reproductive aggregations…are well defined""",730,
Astacus_astacus,ASTACIDAE,juv_agg_adult_solo,3,juveniles aggregate to receive protection from mother,NA,
Austropotamobius_pallipes,ASTACIDAE,juv_agg_adult_solo,3,"adults are aggressive and solitary, ""hatchlings remain attached to or near their mother for 2-3 weeks""","732, 733",
Austropotamobius_torrentium,ASTACIDAE,juv_agg_adult_solo,3,adults aggressively defend shelter,734,
Pacifastacus_leniusculus,ASTACIDAE,juv_agg_adult_solo,3,"juveniles remain with mother for several weeks, adults have agonistic and aggressive interactions","735, 736",
Pontastacus_leptodactylus,ASTACIDAE,juv_agg_adult_solo,3,NA,NA,
Hepatus_pudibundus,CALAPPIDAE,NA,0,"Captured as by-catch ""in great abundance"", but can find very little info on this species",NA,
Callichirus_kraussi,CALLIANASSIDAE,aggregates,4,"""occurs in dense aggregates (up to 200 ind./m2) spanning several kilometers""",648,
Neotrypaea_californiensis,CALLIANASSIDAE,aggregates,4,From 230-450 shrimp/m2,649,
Cambarus_bartonii,CAMBARIDAE,NA,1,adults are aggressive,NA,
Orconectes_immunis,CAMBARIDAE,NA,1,agonistic,NA,
Orconectes_limosus,CAMBARIDAE,NA,1,agonistic,NA,
Orconectes_nais,CAMBARIDAE,NA,1,agonistic,NA,
Orconectes_propinquus,CAMBARIDAE,NA,1,agonistic,NA,
Orconectes_rusticus,CAMBARIDAE,NA,1,agonistic,NA,
Orconectes_virilis,CAMBARIDAE,NA,0,"""gregarious use of burrows was observed"", sounds like mating pairs though",737,
Procambarus_alleni,CAMBARIDAE,NA,1,agonistic,NA,
Procambarus_clarkii,CAMBARIDAE,juv_agg_adult_solo,3,juveniles aggregate to receive protection from mother,643,
Procambarus_fallax,CAMBARIDAE,NA,1,agonistic,NA,
Cancer_irroratus,CANCRIDAE,solitary,1,aggressive displays and formation of dominance hierarchies,661,
Cancer_pagurus,CANCRIDAE,ovig_aggregates,2,ovigerous crabs aggregate but do not enter traps,654,
Cancer_productus,CANCRIDAE,NA,0,not finding info on this spp.,NA,
Metacarcinus_magister,CANCRIDAE,ovig_aggregates,2,"dispersion non-random, only ovigerous crabs were found in aggregations",653,
Romaleon_antennarium,CANCRIDAE,NA,0,not finding info on this spp.,NA,
Birgus_latro,COENOBITIDAE,ovig_aggregates,2,"solitary except ovigerous females, which use similar habitat and occur in densities ""often so great that crabs were observed climbing over each other or that crevices and holes were occurpied by more than one crab""",663,
Crangon_crangon,CRANGONIDAE,aggregates,4,"""high densities"", ""huge numbers""",665,
Crangon_franciscorum,CRANGONIDAE,NA,0,not finding info on this spp.,NA,
Notocrangon_antarcticus,CRANGONIDAE,aggregates,4,"patchy distribution, ""indicates that the two species aggregate in patches…""",666,
Cervimunida_johni,GALATHEIDAE,NA,0,no info on this,NA,
Munida_gregaria,GALATHEIDAE,juv_aggregates,3,"""massive shoals of the post-metamorphic phase (juveniles)...are present in continental shelf surface waters of southeastern New Zealand""",668,
Pleuroncodes_monodon,GALATHEIDAE,aggregates,4,"""two persistent adult aggregations""",669,
Chaceon_maritae,GERYONIDAE,aggregates,4,"""these species have a contagious behaviour and tend to aggregate in areas close to canyons and other bottom features"" especially mature females",670,
Eriocheir_sinensis,GRAPSIDAE,solitary,1,"""aggressive instinct...results in a frequent autotomy among juvenile crabs""",671,
Grapsus_adscensionis,GRAPSIDAE,aggregates,4,"""many were...often tightly packed, touching, but with no aggression....They were spaced apart...but with little interaction. When a large crab walked through the group, all the smaller ones moved slowly out of its way; the large crabs were never overtly aggressive. If a crab hahepend to touch a similar sized one there was sometimes a brief confrontation, but they then separated""",334,
Pachygrapsus_marmoratus,GRAPSIDAE,aggregates,4,"""...the marked crabs were packed together where the refuge density was higher...the territories of larger males never overlapped, but were divided into many small areas also occupied by smaller males and females""",673,
Lithodes_santolla,LITHODIDAE,juv_aggregates,3,"early benthic phase is solitary for 2 years, then ""social-aggregative behavior, termed 'podding' displayed by older juveniles""",674,
Paralithodes_camtschaticus,LITHODIDAE,aggregates,4,"ovigerous females aggregates, juveniles aggregate",675,
